tweet,sentiment
 thanks will try to behave,positive
Today is lame because I am not in Orlando  I am soooo looking forward to NEXT friday,negative
 hahahaha! i laughed my **** off just now. thanks,positive
Gahh ! This weather sucksss !,negative
Fallen in love with enter shikari again. Might go for a walk with the lady later.  now though,positive
 ten update away from 2000 whooo hoooo budden!,positive
im thinking that im going to have fun tonight....and maybe some changes are coming,positive
Sitting in boring **** litterature listening to jack Johnson  missing the gf soooooooooooooooooooooooooooooooooooo much.,negative
 oh but that girl  but AIDAN!,negative
"I`ve been losing myself into too many Taiwanese dramas.... ????, ??????, ????... this is not good. XD But Wu Chun! Eeeeeee.",negative
Picked up Luna from the vet. She looks like she`s been crying  I`m not kidding. Her lashes are wet and she has tear trails. My poor bebe!,negative
i can`t sleep.  amp.,negative
actually loves nesquik cereal,positive
I lost count   sorry I let u down...,negative
 I don`t think they sale Ciroc where I stay..****..thats just my luck,negative
Pissing annoying date stamp on all my pictures. Wish I`d remembered to turn it off.,negative
im so tired  &i miss dionee already.,negative
doesn`t want to go to work....,negative
#snl...you`ve gotten better  keep it up,positive
traveling to L.a today to see grandpa in hospital..Yet another road block to cross fro my family,negative
Month end... still stuck in my office waiting for the stragglers to get there s#!t together.,negative
"  yahyan:  iaaaaaaaaaaaaan, i was just joking",positive
" those cakes sure look good ,,took one if it`s ok with you  ummm good tks",positive
 Thank you! I appreciate that.,positive
" haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",negative
" Ooo showing of your French skills!! lol Things good over here. Lovely weather, so should be outside  How`s u?",positive
" Yeah, it`s good! If you`re not going to use it, give it to me! I want to watch Star Trek",positive
My generation is too **** apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?,negative
Wishing all Mothers Happy Mother`s Day,positive
 Sorry to hear.,negative
Its beginning to get way too hard to please all of my friends at once,negative
I left my ipod in the car so now its all warm.,positive
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
" I know man, my day off and am pulling myself out of bed",negative
"Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!",negative
 if ur as awesome as i think u are u would sooo write me back  a lil something   <--- crossing fingers,positive
Goodnight everyone  Happy Mothers Day to all of the mothers out there,positive
Hadnt cried in such a long time,negative
i finally found the perfect matte lcd cleaner!! i-nix screen cleaner ftw!,positive
Back at homes hmm.. i rly am going to miss my boo for 2 days like wtf,negative
" just nothing perfect in life, darn it!",negative
 Hello my friend...you found me on GBW? How are you doing? Glad to see you twitter but I have to learn German,positive
_Manford Awww thats such a lovely thing for u to say to me  are u doing any in manchester? x,positive
"And they are so censoring over at nin.com, nobody can really speculate about these things are disagree with anything",negative
 thanx for the msg! glad u liked my singing!,positive
is very worried about sam  and wants to know he okay!,negative
 australian hardcore/metalcore scene is amazing right now. look up third strike and chelsea smile. AND BMTH IN 7 DAYS,positive
 its the best show EVER!,positive
 you`re so gorgeous!!,positive
 I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,negative
 'coomee to ja-maiii-cah an feel alllll right!!' hahaha,positive
fell on the sidewalk in harvard square.  stupid cobblestones!  now my hand hurts,negative
Back in from LI 2hours ago n still made it to work  yay me,positive
on jacksonville beach walking in the cold **** water   but have to work in the morning   ily <(`-`)>,negative
Why am i even trying to go to sleep. Its 28c in here. I miss the cold winter nights,negative
I have to start eating healthy,positive
 Good Luck!!!  keep rockin!,positive
_smith1 wats i got luck for u guys to beat la!! lol i would like to see this best wishes to the denver nuggets but my cavs are done,positive
" I guess it`ll work under fusion. Otherwise you`ll have to boot directly to Vista just to do some online banking, which sucks",negative
" just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",positive
OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,negative
 Interesting Combination  Have a great one ;),positive
"Don`t know what to do right now...pretty bored, but I refuse to study. Any suggestions?",negative
 dont ya know? people love the human society,positive
Annoyed,negative
sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative
"Sick. Feel like jello, can`t talk, and delirious.",negative
Little one`s cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!,positive
" Sons of ****, why couldn`t they put them on the releases we already bought",negative
 haha calm down. Youll get ur shades. I`m still sick tho. So I`ll prolly knockout after,negative
just made a cake for mi madre  i`m goooooddd!,positive
"aww, anyone see hollie steel on BGT tonight? wharra shame",negative
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",negative
 Or your mobile doesn`t like me,negative
"  AWOOOOGAHHHHHH!!!! heheee hope you get some decently priced breakfast real quick, David",positive
  And it`s only downhill from now until Labor Day!,negative
" I`m trying my dang hardest to not watch the movie again until I finish the book, again.",negative
My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day,negative
" Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",positive
 I was thinking that too this morning. Don`t worry it soon passes,positive
why are matters of the heart so complicated?,negative
" eesh, sorry to hear that. That isn`t going to make travel to Michigan very fun.",negative
"traveling alone makes i meet new people,new circle ..strangers become friends",positive
Buried under more web changes. Going to make lunch now... I won`t have a chance later. Too much to do.,negative
Just reached my Cellgroup leader`s house and he is surprised that I`m dry. Haha.  - http://tweet.sg,negative
Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....,negative
still at home goodness,positive
Miss the newest version on Glade on Debian..,negative
Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out,positive
" yip, that would be a sign that you`ve been on the dodgy sites Jo... eish boet, it ain`t cool",negative
" Didn`t think of that.  Why can`t people just be nice? Why would anyone think it`s ok to say that, much less make a movie.",negative
on youtube watching taylor on the today show wish i was there !,positive
Wave looks interesting. http://bit.ly/pvYYh  If we are going to live our lives so connected might as well be easy right? Google owns us.,positive
 Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,negative
Justin is too funny on SNL... Ciara finna perform,positive
FTSK and Mercy Mercedes were amazing tonight.. as always,positive
Holy **** I am exhausted! Resting up so I can go see Wolverine later,negative
Search Ryan Carera & Josh Kelley  They`re really good,positive
 I know!! our cats could be family  mikesh is so cute!!,positive
 Soooo happy your back!,positive
last night in cork  and come tomorrow i wont even remember it... double sad face  haha... in the words on lily allen.. NOT FAIR!,negative
"Man, finishing 'Operation Anchorage' sure gives you an unfair advantage, loot-wise... I love the stealth field suit and Gauss rifle",positive
" Good plan, Peg --plus I like the sound of 'Money Monday'",positive
 I didn`t know you had a blog!!!  That`s so awesome,positive
  I know.  Sorry.,negative
 ooo and good luck for dundee tonight i can`t be there cos i have a ton of uni work,positive
DIDO 'US 2 Little Gods' http://ow.ly/9UIn 'Just this moment/ Let it all stop here/ I`ve had my fill'...words that make you panic...,negative
Work has really sucked the past 2 days & now my 11:00 meeting on Mon got rescheduled to 9 am! That`s just plain evil...i need a new job!!,negative
researching ecologically friendly carrier bags... its not cheap to be eco friendly,positive
_ no idea what that means bb,negative
Fun at the water park then dinner at the rainforest cafe (all free!) then party tonight  pretty good Saturday I think.,positive
" aw anytime, boo. I realized that all I need to have some fun are you guys.  We should change our pics to the poofy hair ones!",positive
More pictures! It was such a pretty day  http://tr.im/kWOD #fb,positive
"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow",negative
 Happy Mothers Day! i hope tom got you something special! enjoy day!  xo,positive
" No, I`m working on it all day Monday. Will try to remember to email but if you`re smart you`ll remind me.",positive
is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,positive
_and_jay hi!  **** your job!,negative
excited to see my cousins this week.,positive
" last time I looked, they were about 400. They gave us a demo, so cool",positive
at last i wr0te again....got bored the previous dayss....,negative
 ohhhh excellent song..hello my friend!,positive
"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself",positive
 thats the crazy part - was for 16:30. but reasons include 'full schedule' & 'travelling with his daughter'... So. Not. Cool,negative
 thanks! You know that happens once in awhile,positive
Happy Mothers Day to all Mom`s,positive
TIGERS! WOO! YOU`RE MY BABY! omfg. cleveland was a blast. sleeping.,positive
 thanks  I`ll check those out.,positive
"Nothin better then ridin in a car with your sister while blasting TH, CB and Lady Gaga so loud you cant hear yourself screamin the lyrics",positive
just finished Wander Girl for the nth time-- Hilda Gallares is truly a kindred soul.,positive
 Good morning  It`s raining here.,positive
My head`s THUMPING.,negative
FB is boring   and i wanna sing RIGHT NOW..! *-*,negative
 Pretty sure you are hero status... You rock my socks Ms McCain.,positive
 There`s nothing good on tonight anyway!!   #Sigjeans,negative
'your true theatre calling? - musical theatre actor'  i wish :`( ****,positive
"Anybody out there having a beer right now? I hate drinking alone. Mrs T is oot  On the other hand, Mrs T is oot",negative
 So you wouldn`t reply to my gorgeous hot pink shoe then?,positive
A very special HAPPY MOTHER`S DAY to all Mommies!,positive
_Neith James just doesn`t take a bad pic! Colossal loveliness! (wondering if I spelt colossal right...),positive
 Fab new pic by the way,positive
 i love you kim kardashian i watch your tv show keeping up with the kardashians ur blessed with good looks,positive
" Well, guess we just make a pretty great pair.  So, I don`t think our birthday date is going to happen. :`(",negative
i woke him up in the end. Got bored.,negative
"Head is pounding.  Well not really pounding, more like tapping I suppose.  Homework time.",negative
needs to wash her cats. Uncool.,negative
 ._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !,positive
" Hehe, funny (the midget thing) ! Cheer up Alex, and wave from below  Is it that you are in Germany right now? .. or in Spain? ;D",positive
 I even saw the news feeds of the archie website. But can`t believe he`d choose veronica. I`m disappointed,negative
*sigh* joe sings so purdy.  he makes me feel better,positive
Back from x-men origins . Was surprisingly good,positive
  you`re mean to me. You`re gonna have to have pizza tonight or it will go off.,negative
 it sure is  Hope you`re having a great morning,positive
what a lazy sunday... I love lazy days...,positive
Damnit Day 26 is at Northpark mall..I use to live near there  someone steal Mike for meeee!,negative
 - Sorry only just seen this - how strange it seems only to happen from my iPhone - perhaps it is a problem with Twitterific,negative
i just saw a pony that used to live in front of my house again. he`s developed cushing`s disease tho,negative
@ inthebattle its really cute. One of my favorites.,positive
healthy food is NOT helping my hangover,negative
"_n_DC amendment 4.5: the right to be big pimpin? Because gotta say, a positive right at best. Man, 2nd time tonight w/ this thrd",positive
Wonderful weekend  I love my family  & friends because they are awesome. Happy Mothers day to all the mommies <3,positive
 I was afraid you were going to say that.,negative
TGIF. I don`t feel good.,negative
" haha you didnt see my macbook or my 24`` imac in that pic, so feel extra jealous lolll",negative
Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,positive
ugh... my back is killing me.,negative
"gettn ready to take a trip to Jersey my dad`s not doing so good, he needs a new heart~whoeva see`s this please say a prayer for my dad",negative
"Just wrote another song, but i ran out of ideas so this one is a bit ****",negative
 I`m just starting to feel really panicky and anxious that something bad has happened cos it seems like it`s been ages,negative
 i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,negative
 aww sorry to hear you are having a bad time. Remember: this too shall pass,negative
Today is my first Mothers Day with my little boy. Hope you`re having a beautiful Mothers Day too,positive
Located & ordered a new cooker today. Feel I`ve got a real bargain from http://www.laskys.com  ï¿½80 cheaper than the place I almost used.,positive
" weird trigger. You should definitely ask him about them on monday, dude...  ****.",negative
I have a headache. And I have nobody to keep me company.   _wants.to.be.a.kidd.again<3,negative
 I really like pink after I saw her live while in the new T-MOBILE Advert,positive
" did you decide it is a sprain? mine has been bothering me again, but never had it checked out",negative
   I`m a Metsies fan also! Boo Hoo,positive
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
i just found a crack in my baking bowl...milk spilled everywhere,negative
 haha sounds like your going to have heaps of fun  ****,positive
which was so UNLIKE the POs in oakland. they hated me,negative
is bored at work,negative
Ok so I`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
 Safe flight home to you and Jade   ****,positive
http://twitpic.com/4whaf Tonight`s art show was a success.,positive
"Oh, yes... Happy NINE year annivarsary to Hanson`s second studio album, 'This Time Around.'",positive
Exhausted after a 58 hour work week,negative
" I haven`t got ANY cupcakes yet  I was hoping if I said it enough, some would appear!",positive
 I hope the young`ins enjoyed your wisdom!,positive
 Content content content .... gah! Story of my life right now - thx for reminding me. That`s what I should be doing v. Tweeting,positive
  Welcome to my network buddies,positive
Boredddddd Follower  Shes AMAZING!!  *Broken*,positive
have been to portugal. and spain. and has a sore throat. scary?,negative
finished my capital transactions exam . . . as another monkey climbs down my back. looking forward to being in a glorious mood tomorrow.,positive
Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,positive
 o iight we gonna miss you tonight,negative
" if I could make it to Philadelphia this year I would be there!! but sadly, i cannot",negative
Epic ocd moment? I deleted my sims file that i spent hours building just because i set his favorite food wrong,negative
 I love to Read  And i love Film making,positive
had a awesome day!,positive
"  it`s an app to finally face the truth: you lack time, and never be able to achieve all your goals in life?",negative
I need to memorize julius caesar lines,positive
"I`m home, Yay! Unpacked everything, now just got to wash it all",positive
"Excited!!! Trousers on their way from Topshop, should be here in a couple of days",positive
Chilling with Colton who just redesigned the Cocktail Hacker card backs for me.,positive
 have fun without me pasty  <33,positive
 Nice...I`d like to be there...but it`s too far...  I`m from Brazil... kisses and have a nice day!!!,positive
Bella doesn`t love me no more,negative
I don`t know what my Mom gave me to clean my Macbook with but it is SO white now. It was tinted grayish blue from my black desk.,positive
 ...as well as bell hooks Teaching to Transgress.  Sometimes I miss teaching & messing with bad system.,negative
"  Thanks for the link, ive voted & i`ll send that out too.",positive
Hicks are mean!,negative
"the $60,000 i spent going to college was well spent.  I`m going to meet a man tomorrow in the Toys`R`Us parking lot for a cleaning job.",positive
  I know... he`s mad at us... :`(,negative
"Drat. All my land boots died at once. I think of boots like parsley- one going to seed, the other first season. What to do now?",negative
http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,positive
"epic writing fail, ew. going to try and sleep",negative
 My condolences.,positive
 Ok then have a good day,positive
 So sad that schools have to close.,negative
 OMG .. my memory must have failed me! Very weird since I do not normally forget because of my profession!,negative
" Hehe, you`re an expert now eh?",positive
 don`t get impatient! for what? you have already sinned: strawberries with milk and sugar,negative
My knee is killing me,negative
I right here...don`t worry,negative
" my pleasure, its a great recipe",positive
$RZ Hope so.  Time will tell.  Good luck   $$,positive
Thank god camera fixed itself. I want a new ipod,positive
 AWW thanks hopefully it is,positive
aww i feel so bad for Holly,negative
"has applied for OSAP yet again- God, I`m gonna owe major $$$ by the end of my academic career, this just ain`t right!!",negative
 heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,positive
 baby help me with math,positive
